year	month	res.price	res.sales.adj	com.price	com.sales.adj	EMXP	MXSD	TPCP	TSNW	EMXT	EMNT	MMXT	MMNT	MNTM	DT90	DX32	DT00	DT32	DP01	DP05	DP10	MDPT	VISIB	WDSP	MWSPD	GUST	HTDD	CLDD	LABOR	EMP	UNEMP	UNEMPRATE	PCINCOME	GSP
1992	7	7.59	10882.41	6.42	7312.48	1.98	0	8.018	0	94.2	67.95	89.88	73.16	81.5	18.67	0	0	0	11.67	5.27	2.33	71.52	8.05	5.46	11.81	20.45	0	402.14	6677483	6120884	556599	8.3	29353.76	436843
1992	8	7.58	11152.85	6.39	7273.2	1.82	0	5.639	0	92.67	66.29	88.07	72.4	80.23	11.21	0	0	0	9.33	3.73	1.73	71.36	8.56	5.2	12.07	22.58	0	331.53	6681621	6130592	551029	8.2	29353.76	436843
1992	9	7.6	10350.3	6.43	7277.53	2.45	0	3.718	0	88.27	53.06	81.82	63.15	72.4	1.2	0	0	0	4.07	1.53	0.93	68.94	8.42	5.65	11.63	20.29	0.18	294.67	6680573	6138259	542314	8.1	29353.76	436843
1992	10	7.7	9010.93	6.5	6813.63	2.26	0	6.088	0	86.88	40.48	77.05	61.02	69.03	0.2	0	0	0.33	7.4	3.33	1.8	60.78	7.92	6.64	11.74	19.28	34.72	114.53	6677276	6146106	531170	8	29353.76	436843
1992	11	7.94	7376.33	6.62	6469.87	0.87	0	1.533	0	81.26	37.71	72.74	53.11	62.9	0	0	0	0.8	2.53	1	0.53	58.27	8.38	8.04	13.64	20.81	143.8	95.97	6673964	6154438	519526	7.8	29353.76	436843
1992	12	7.78	7877.75	6.61	6197.11	1.78	0	5.891	0	82.92	40.66	73.71	56.84	65.25	0	0	0	0.4	8.8	4.2	1.87	52.89	8.21	6.42	11.56	19.17	242.86	18.82	6673247	6164133	509114	7.6	29353.76	436843
1993	1	7.84	7203.16	6.55	5866.65	1.26	0	3.203	0	79.39	36.2	70.35	49.84	60.08	0	0	0	0.87	4.73	2.67	1	55.49	7.73	6.96	12.4	19.83	196.27	35.7	6677510	6176868	500642	7.5	29813.7	453350
1993	2	7.85	6830.99	6.69	5417.48	2.28	0	5.94	0	85.41	33.02	74.11	53.96	64.03	0	0	0	1.13	7.13	3.67	2	46.7	8.35	7.73	13.5	20.04	281.99	7.38	6687096	6192969	494127	7.4	29813.7	453350
1993	3	7.82	7049.62	6.7	5426.2	0.98	0	1.853	0	85.94	44.53	78.26	56.3	67.29	0	0	0	0.07	3.4	1.2	0.33	50.9	8.2	8.44	14.72	22.68	211.73	23.67	6702047	6212689	489358	7.3	29813.7	453350
1993	4	8.21	6752.4	6.9	5785.51	1.23	0	2.293	0	90.72	55.8	84.58	65.36	74.97	2.53	0	0	0	4.2	1.27	0.47	52.66	8.97	8.31	14.21	20.7	98.24	42.37	6720505	6235280	485225	7.2	29813.7	453350
1993	5	8.23	6714.79	6.89	5985.62	1.15	0	3.993	0	95.74	65.59	90.13	71.86	81.02	16	0	0	0	7.6	3	0.73	61.73	8.65	7.44	13	19.21	4.6	169.78	6739632	6258223	481409	7.1	29813.7	453350
1993	6	8.05	8995.98	6.76	6814.11	1.84	0	6.564	0	97.02	69.74	92.44	73.7	83.08	26.53	0	0	0	9.27	4.6	2.33	68.05	8.55	6.28	12.62	20.51	0	330.22	6756937	6278549	478388	7.1	29813.7	453350
1993	7	7.99	10665.91	6.7	7197.38	1.55	0	5.31	0	96.94	69.15	92.04	73.75	82.88	24.07	0	0	0	8.93	3.4	1.47	71.75	8.24	5.11	11.84	21.71	0	400.87	6769594	6294044	475550	7	29813.7	453350
1993	8	7.98	11594.39	6.69	7464.79	1.44	0	5.93	0	93.79	60.87	89.49	71.9	80.67	16.93	0	0	0	10.2	4.13	1.53	71.65	7.92	5.48	11.86	20.17	0	393.43	6778605	6305629	472976	7	29813.7	453350
1993	9	8.01	10766.14	6.69	7346.21	2.5	0	6.714	0	90.22	46.47	83.78	65.7	74.74	2.47	0	0	0.13	7.8	4.27	2.27	70.06	8.85	5.6	11.79	20.35	1.36	324.63	6788305	6317326	470979	6.9	29813.7	453350
1993	10	7.92	9343.11	6.54	6914.9	1.51	0	2.347	0	86.08	38.47	77.22	57.97	67.59	0.2	0	0	0.6	3.6	1.07	0.33	64.81	8.39	6.12	11.53	19.35	28.77	172.67	6801657	6331527	470130	6.9	29813.7	453350
1993	11	8	7906.44	6.58	6419.97	0.85	0	1.829	0	80.07	33.33	69.6	47.66	58.65	0	0	0	2.27	3.73	0.87	0.33	56.93	8.4	7.15	12.06	18.68	151.84	71.52	6819485	6348474	471011	6.9	29813.7	453350
1993	12	7.97	7760.75	6.57	6271.21	1.42	0	5.278	0	80.17	34.78	68.84	49.78	59.31	0	0	0	3.2	7.47	4.27	1.67	47.51	8.72	6.84	12.15	20.31	365.31	10	6841132	6368181	472951	6.9	29813.7	453350
1994	1	7.93	8208.3	6.65	5462.97	1.32	0	2.677	0	84.67	36.14	74.92	56.17	65.53	0	0	0	1.27	4.07	1.87	0.87	49.12	8.15	7.99	13.68	21.08	352.61	15.87	6863153	6388699	474454	6.9	30084.41	475562
1994	2	7.91	7206.29	6.6	5421.27	1.83	0	3.395	0	88.94	41.07	78.19	56.77	67.5	0.87	0	0	0.27	3.67	1.93	1	54.78	8.08	7.49	12.97	19.79	175.75	37.25	6881455	6407639	473816	6.9	30084.41	475562
1994	3	7.95	6625.86	6.5	5728.71	1.62	0	3.522	0	89.16	47.88	82.78	63.86	73.34	0.93	0	0	0	5.07	2.07	0.87	54.89	8.28	8.12	13.95	20.62	135.52	59.29	6894523	6423996	470527	6.8	30084.41	475562
1994	4	7.85	7230.15	6.29	6358.72	1.78	0	3.453	0	92.71	55.66	86.62	66.79	76.71	7.33	0	0	0	4.4	2.07	1.13	61.95	8.54	7.33	13.06	19.6	32.24	134.47	6903675	6438663	465012	6.7	30084.41	475562
1994	5	7.72	8155.62	6.5	6183.35	2.3	0	9.454	0	95.07	68.26	89.61	72.88	81.26	16.87	0	0	0	13	5.93	3.2	64.42	8.01	6.44	12.16	20.1	5.22	224.84	6912763	6454530	458233	6.6	30084.41	475562
1994	6	7.71	9353.87	6.25	6868.7	1.8	0	7.434	0	93.68	69.14	89.47	72.91	81.19	17.13	0	0	0	11.93	5.13	2.13	71.33	8.16	5.89	12.58	22.39	0.01	326.34	6924913	6473763	451150	6.5	30084.41	475562
1994	7	7.64	10546.7	6.17	7124.62	2.65	0	9.374	0	92.98	68.14	89.01	72.57	80.79	14	0	0	0	12.73	6.07	2.8	71.24	8.37	5.73	12.65	21.9	0	334.44	6942049	6497466	444583	6.4	30084.41	475562
1994	8	7.65	10051.69	6.2	6956.11	2.51	0	9.497	0	92.38	64.66	87.03	71.17	79.09	7.53	0	0	0	11.07	5.8	3.67	71.31	8.48	5.61	12.17	21.61	0	327.37	6963006	6524402	438604	6.3	30084.41	475562
1994	9	7.66	10056.19	6.19	7032.76	2.6	0	6.49	0	89.34	58.8	83.22	66.92	75.08	1.4	0	0	0	8	3.93	1.93	69.79	8.17	5.77	11.78	21.23	0.27	264.44	6984501	6552483	432018	6.2	30084.41	475562
1994	10	7.79	8784.7	6.33	6750.23	3.13	0	5.949	0	86.13	49.5	79.66	62.52	71.07	0.13	0	0	0	4.67	2.47	1.93	65.53	8.32	6.38	11.76	19.69	21.3	169.28	7003158	6579967	423191	6	30084.41	475562
1994	11	7.86	7840.15	6.36	6567.51	2.06	0	4.029	0	83.66	41.79	72.62	55.41	64.03	0	0	0	0.13	5.67	2.27	0.93	61	8.14	7.35	12.66	19.73	64.83	96.72	7017773	6605757	412016	5.9	30084.41	475562
1994	12	7.85	7524.15	6.33	6455.08	1.33	0	3.224	0	79.53	35.34	68.96	48.16	58.57	0	0	0	1.87	5.53	2	0.93	54.89	7.64	6.8	11.68	19.73	233.97	34.92	7026523	6626354	400169	5.7	30084.41	475562
1995	1	7.8	7321.57	6.38	5585.37	0.78	0	2.03	0	83.13	28.65	71.61	50.04	60.8	0	0	0	2.67	4.4	1.33	0.33	48.15	8.39	6.99	12.62	19.94	353.82	8.75	7029031	6638913	390118	5.6	31020.81	493273
1995	2	7.79	7824.55	6.52	5277.74	2.01	0	4.15	0	87.22	44.53	77.35	58.16	67.76	0.2	0	0	0.07	5.33	2.6	1.13	48.83	8.33	7.61	13.51	20.59	270.63	16.23	7028330	6644667	383663	5.5	31020.81	493273
1995	3	7.86	6444.3	6.47	5519.55	1.38	0	3.359	0	90.21	48.67	82.04	61.77	71.9	2	0	0	0	4.8	2.33	1.13	56.63	8.26	7.95	13.65	20.33	115.75	43.16	7027083	6645653	381430	5.4	31020.81	493273
1995	4	7.88	6547.67	6.4	5919.21	1.61	0	3.069	0	94.8	57.39	88.95	69.31	79.1	14.4	0	0	0.07	4.33	1.93	0.8	60.47	8.26	6.99	12.53	19.04	46.03	107.97	7026666	6643924	382742	5.4	31020.81	493273
1995	5	7.76	8139.19	6.35	6520.57	3.14	0	10.097	0	95.35	60.09	88.4	71.26	79.84	12.47	0	0	0.13	10.67	6	3.33	67.52	8.24	6.84	12.51	19.05	1.48	293.67	7029171	6642854	386317	5.5	31020.81	493273
1995	6	7.71	10046.46	6.23	7099.54	1.89	0	7.278	0	96.72	69.86	91.36	73.9	82.63	23.07	0	0	0	11.29	5.29	2.43	69.44	7.99	6.64	12.98	20.68	0.05	295.07	7035310	6644927	390383	5.5	31020.81	493273
1995	7	7.71	10147.89	6.24	7101.13	3.44	0	11.105	0	97.01	70.53	90.44	75.06	82.75	19.79	0	0	0	12.14	6.43	3.64	72.14	8.09	5.83	12.88	22.43	0	373.74	7044457	6650644	393813	5.6	31020.81	493273
1995	8	7.71	10204.1	6.27	7003.15	1.92	0	6.976	0	93.63	64.56	88.84	72.67	80.76	13.33	0	0	0.07	9	4.33	2.33	73.27	7.4	6.6	12.8	21.26	0	387.81	7054356	6658547	395809	5.6	31020.81	493273
1995	9	7.72	10445.7	6.22	7311.19	2.69	0	8.518	0	90.72	54.87	84.24	68.6	76.44	3.2	0	0	0	10.47	4.93	2.47	70.96	8.31	5.44	11.28	19.51	0.67	311.63	7062597	6666651	395946	5.6	31020.81	493273
1995	10	7.96	9573.54	6.48	6982.6	1.25	0	2.893	0	86.76	40.14	75.18	54.09	64.62	0.07	0	0	0.73	4	1.53	0.93	66.25	8.61	7.23	12.82	20.51	22.04	217.44	7068152	6673498	394654	5.6	31020.81	493273
1995	11	8.07	7859.07	6.58	6578.35	0.98	0	2.041	0	81.94	30.26	69.2	49.69	59.4	0	0	0	4.27	3.2	1.13	0.53	53.53	8.97	6.75	11.94	18.66	199.26	55.31	7071140	6679474	391666	5.5	31020.81	493273
1995	12	8.06	7029.62	6.63	6011.63	1.53	0	3.241	0	81.39	27.79	69.96	47.5	58.74	0	0	0	4	5	2.07	0.67	48.95	8.14	6.58	11.75	19.24	351.01	15.95	7073427	6686077	387350	5.5	31020.81	493273
1996	1	7.87	9210.33	6.62	5732.15	0.88	0	1.788	0	83.65	25.35	71.85	48.56	60.2	0	0.066666667	0	4	2.87	1.13	0.47	47.85	8.53	7.55	13.57	20.87	366.57	13.18	7078022	6695448	382574	5.4	31631.57	518640
1996	2	7.92	7888.91	6.73	5572.67	2.2	0	7.024	0	84.94	33.61	72.58	51.93	62.23	0	0	0	1.67	7.87	4.27	2.47	48.65	8.04	7.2	13.19	20.59	301.1	12.85	7086636	6708158	378478	5.3	31631.57	518640
1996	3	8.01	7323.55	6.74	5550.27	1.63	0	3.052	0	89.79	43.93	79.4	58.71	69.08	1.07	0	0	0.13	3.67	2.27	1.07	49.72	8.67	8.72	15.31	22.28	274.71	26.86	7099557	6724047	375510	5.3	31631.57	518640
1996	4	7.98	6688.99	6.68	5641.97	1.67	0	4.102	0	94.3	57.87	87.32	68.32	77.83	9.8	0	0	0	6.2	2.67	1	57.07	8.93	7.37	13.25	19.44	94.56	74.96	7116176	6742779	373397	5.2	31631.57	518640
1996	5	7.94	7308.55	6.57	6269.59	2.16	0	8.612	0	95	61.28	88.56	71.1	79.82	11.73	0	0	0.07	12.33	5.73	2.6	65.88	8.91	6.45	12.3	19.39	4.82	246.33	7135463	6763997	371466	5.2	31631.57	518640
1996	6	7.85	9184.68	6.42	6965.26	1.8	0	4.88	0	95.82	69.26	91.05	74.44	82.78	23	0	0	0	7.27	3.07	1.33	69.35	8.7	5.86	12.61	20.92	0	290.67	7156648	6787299	369349	5.2	31631.57	518640
1996	7	7.93	9907.33	6.54	7079.2	1.78	0	7.154	0	93.19	68.66	89.42	73.09	81.27	16.67	0	0	0	12.33	5.07	1.87	72.08	8.47	6.41	12.3	20.36	0	395.67	7179471	6812355	367116	5.1	31631.57	518640
1996	8	7.94	10838.14	6.51	7372.65	1.69	0	5.579	0	93.03	63.62	88.92	71.77	80.35	14.07	0	0	0	9.47	3.93	1.33	71.4	8.58	5.35	11.91	20.9	0	332.93	7203002	6837669	365333	5.1	31631.57	518640
1996	9	7.97	10196.09	6.52	7256.37	2.89	0	7.072	0	88.02	49.05	82.14	65.08	73.62	0.4	0	0	0	7.4	4.4	2.27	69.79	8.43	5.59	11.57	19.79	0.61	298.16	7224225	6859676	364549	5	31631.57	518640
1996	10	8.15	8785.11	6.72	6854.61	0.75	0	1.271	0	86.42	43.35	76.54	57.25	66.87	0	0	0	0.07	3.13	0.6	0.33	63.6	8.85	7.13	12.51	20.08	36.66	150.09	7240543	6875770	364773	5	31631.57	518640
1996	11	8.25	7280.95	6.78	6443.37	1.32	0	2.978	0	81.73	32.46	72.39	51.84	62.13	0	0	0	1.8	4.33	1.93	1.07	55.57	9.22	8.3	13.6	20.6	145.71	57.2	7252081	6886400	365681	5	31631.57	518640
1996	12	8.22	6971.02	6.79	6171.91	1.39	0	3.058	0	82.33	27.87	71.29	50.67	61.03	0	0	0	2.93	4.73	1.8	0.67	52.25	8.7	6.35	11.59	19.36	264.11	17.13	7261593	6895186	366407	5	31631.57	518640
1997	1	8.16	7831.68	6.81	5769.6	1.21	0	2.508	0	84.96	38.62	75.94	56.72	66.33	0	0	0	0.47	4.27	1.4	0.47	50.36	8.64	6.73	12.36	20.04	298.41	14.86	7271995	6905670	366325	5	32210.18	540967
1997	2	8.22	7332.2	6.91	5557.73	1.25	0	2.803	0	87.97	49.62	81.18	62.12	71.64	0.2	0	0	0	5.07	1.8	0.67	56.49	8.36	7.5	13	20.22	166.02	46.33	7285819	6920642	365177	5	32210.18	540967
1997	3	8.27	6979.01	6.79	5979.7	2.36	0	5.717	0	88.21	45.34	79.7	60.2	69.97	0.8	0	0	0	6.8	3.67	1.73	60.41	8.6	7.37	13.05	19.31	39.86	92.59	7304568	6941888	362680	5	32210.18	540967
1997	4	8.28	6854.48	6.79	6011	1.9	0	4.77	0	92.06	55.28	84.99	66.7	75.85	4.27	0	0	0	5.6	3.13	1.47	57.03	8.78	8.26	14.23	20.67	68.29	76.04	7328044	6968281	359763	4.9	32210.18	540967
1997	5	8.24	7276.72	6.82	6062.11	2.48	0	8.218	0	93.73	64.12	87.87	71.29	79.56	12.73	0	0	0	10.87	5.27	2.13	64.47	8.63	6.66	12.34	19.59	7.37	200.19	7352202	6995593	356609	4.9	32210.18	540967
1997	6	8.14	9264.94	6.65	6818.73	1.96	0	7.84	0	96.07	68.98	91.06	73.8	82.41	24.53	0	0	0	11.33	5.4	2.4	69.5	8.71	6.41	12.84	21.05	0.92	284.82	7373219	7020298	352921	4.8	32210.18	540967
1997	7	7.92	10520.8	6.48	7067.98	1.78	0	6.609	0	94.71	66.99	90.79	73.68	82.24	23	0	0	0	10.2	4.4	2.33	72.35	8.59	5.21	12.29	21.34	0	373.01	7389856	7041089	348767	4.7	32210.18	540967
1997	8	8.04	10641.44	6.6	7060.89	2.32	0	6.596	0	93.73	65.79	89.05	71.61	80.32	14.13	0	0	0	8.93	4.07	1.73	71.7	8.42	5.18	11.58	20.37	0	371.32	7402437	7057706	344731	4.7	32210.18	540967
1997	9	8.06	10585.82	6.56	7229.01	1.63	0	3.975	0	90.13	48.45	82.64	64.53	73.58	2.67	0	0	0	5.8	2.6	1.27	69.95	8.52	5.65	11.32	18.94	0	312.99	7412552	7071342	341210	4.6	32210.18	540967
1997	10	7.88	9575.23	6.33	6986.75	2.37	0	4.768	0	84.39	41.82	74.8	56.19	65.49	0.07	0	0	0.6	4.87	2.73	1.53	62.56	8.72	6.76	12.24	19.17	51.58	164.35	7422039	7083040	338999	4.6	32210.18	540967
1997	11	7.98	7379.34	6.4	6270.95	2.23	0	7.356	0	82.27	36.74	69.01	52.09	60.55	0.07	0	0	2.07	9	4.2	2.47	55.85	8.59	6.38	11.57	18.81	180.44	43.82	7431207	7093227	337980	4.5	32210.18	540967
1997	12	7.93	7342	6.37	6095.6	2.03	0	4.711	0	81	37.53	71.07	53.12	62.1	0	0	0	1.67	6.07	2.4	1.27	51.84	8.34	6.75	12.42	19.77	321.8	26.4	7440960	7103528	337432	4.5	32210.18	540967
1998	1	7.89	7678.6	6.4	5688.59	2.82	0	7.848	0	81.78	39.49	71.01	52.28	61.65	0	0	0	0.4	8.13	4.73	2.6	53	8.73	7.1	12.76	20.07	275.41	21.45	7451486	7114967	336519	4.5	33837.24	567440
1998	2	7.94	6760.79	6.51	5279.15	2.58	0	5.064	0	84.66	36.92	72.99	53.47	63.24	0	0	0	1.47	5.07	2.87	1.33	51.45	8.58	8.71	15.39	23.32	256.68	15.91	7462792	7128094	334698	4.5	33837.24	567440
1998	3	7.94	6626.55	6.47	5370.98	0.74	0	1.184	0	87.27	48.54	80.5	61.39	70.94	0.27	0	0	0	1.87	0.87	0.33	51.1	9.12	8.4	14.35	20.67	238.6	34.86	7473723	7141713	332010	4.4	33837.24	567440
1998	4	7.98	6615.17	6.55	5729.61	1.14	0	2.33	0	94.78	58.15	88.58	67.93	78.26	13.67	0	0	0	3.53	1.4	0.67	58.59	8.78	8.31	14.24	20.45	56.5	93.64	7484364	7155723	328641	4.4	33837.24	567440
1998	5	7.91	7222.64	6.45	6195.51	1.27	0	2.667	0	99.07	68.32	94.49	74.85	84.67	26	0	0	0	3.75	2	0.75	66.01	7.72	6.3	12.46	19.52	0.72	255.32	7496089	7170483	325606	4.3	33837.24	567440
1998	6	7.81	10082	6.33	6985.64	2.11	0	8.078	0	98.5	71.45	92.26	75.63	83.92	24.88	0	0	0	11	5.19	2.44	71.67	8.24	6.62	12.85	20.65	0	424.73	7509547	7185740	323807	4.3	33837.24	567440
1998	7	7.81	11005.88	6.28	7333.15	1.74	0	6.492	0	95.7	70.81	91.47	75.22	83.33	23.81	0	0	0	10.25	4.13	2.19	73.51	8.08	5.61	12.66	21.37	0	412.47	7524288	7201435	322853	4.3	33837.24	567440
1998	8	7.83	10735.41	6.29	7216.79	3.76	0	12.125	0	93.72	68.44	87.46	74.5	80.96	9.69	0	0	0	12.56	6.5	3.75	73.12	8.65	5.35	11.85	20.67	0	386.59	7540531	7219059	321472	4.3	33837.24	567440
1998	9	7.85	10436.9	6.3	7124.83	0.95	0	2.069	0	91.05	56.31	85.12	67.99	76.55	4.19	0	0	0	3.69	1.19	0.69	72.39	8.44	7.23	13.59	22.69	0.04	306.55	7558225	7238895	319330	4.2	33837.24	567440
1998	10	7.88	9594.51	6.35	6944.64	2.5	0	3.902	0	85.44	40.49	79.21	61.17	70.17	0	0.1875	0.25	0.5	3.06	1.69	1.06	65.4	8.75	6.43	11.64	19.45	17.03	209.97	7576025	7259808	316217	4.2	33837.24	567440
1998	11	8	7539.11	6.41	6597.69	0.88	0	2.006	0	83.23	40.07	75.31	57.72	66.53	0.06	0	0	1.13	5.13	1	0.5	62.15	8.16	5.41	10.48	18.63	65.14	81.04	7591438	7278820	312618	4.1	33837.24	567440
